BusStationName,Latitude,Longitude
"Krishnarajendra Market,KR MARKET,OPPOSITE TO CHANDRA BHAVAN HOTEL",12.964049,77.577499
Town Hall,12.963932,77.584257
"Kalyananagara Bus Stand,KALYAN NAGAR,OPPOSITE OF PANASONIC/GIRIAS SHOW ROOM",13.02655,77.638339
"Kalyana Nagara,KALYANA NAGARA,OPPOSITE OF INDO ASIAN ACADEMY DEGREE COLLEGE",13.026366,77.636401
Hennur Cross,13.031612,77.636007
Hennur Depot,13.025633,77.631705
"Kacharakanahalli,KACHARAKANAHALLI,OPPOSITE OF CHENNAKESHAVA TEMPLE",13.021393,77.629913
"Jyothi School Lingarajapura,KACHARAKANAHALLI,IN FRONT OF BETHEL CHURCH",13.015257,77.628912
"Lingarajapuram,KARIYANA PALYA,IN FRONT OF SUCHI RUCHI VEG",13.012226,77.625824
Lingarajapura Bridge,13.00847,77.62294
"CHARLES SCHOOL,SAGAYAPURAM,BESIDE ST CHARLES CONVENT",13.006173,77.62103
"Sindhi Colony,FRAZER TOWN,IN FRONT OF BBMP CHOULTRY",12.995524,77.616796
"Thoms Cafe,FRAZER TOWN,OPPOSITE OF CAR TRENDZ",12.991074,77.614267
"Lavanya Talkies,BESIDE POPULAR AUTOMOBILES",12.98591,77.615471
"Hasanath College,HALASURU,BESIDE HARANATHA COLLEGE",12.979199,77.615063
B Station,12.973704,77.613641
"Jagajeevanram Nagara,J.J.NAGARA,BESIDE B.B.M.P. P.U.C. COLLEGE",12.964665,77.554901
"Maramma Temple,K.H.RANGANATHA COLONY,OPPOSITE OF MARIYAMMA TEMPLE",12.963146,77.559011
Sirsi Circle,12.96162,77.56075
"Chikkallasandra Bus Stand,IN FRONT OF U.K.RESIDENCY APARTMENTS",12.915064,77.55223
"Mahesh Medicals,CHIKKALASANDRA,IN FRONT OF VINAYAKA PHOTO STUDIO",12.914057,77.549997
HSR BDA COMPLEX,12.912776,77.638009
14th Main HSR Layout,12.917437,77.638223
Jakkasandra,12.925121,77.636917
Koramangala,12.924828,77.634596
"John Fowler,KORAMANAGALA,OPPOSITE OF TOSHIBHA COMPANY, IN FRONT OF KSRP QUARTERS",12.924106,77.630801
"Koramangala Water Tank,KORAMANGALA,OPPOSITE OF AGARWAL EYE HOSPITAL & STATE BANK OF INDIA",12.92712,77.621589
"Katriguppe ,KATHRIGUPPE,IN FRONT OF ANNA KUTEERA HOTEL",12.926089,77.550299
"Vivekanada Nagara,VIVEKANANDA NAGARA,IN FRONT OF M.M.BAR & RESTAURANT",12.93051,77.55352
"Vidya peeta Circle,VINAYAKANAGARA,IN FRONT OF KARNATAKA RAKSHANA VEDIKE OFFICE",12.936278,77.559618
"Srinivasa Nagara,SRINIVASANAGARA,IN FRONT OF SHANKARA TIMBERS",12.937614,77.557778
"Apex Bank,BANASHANKARI 1ST STAGE HANUMANTHA NAGARA,BESIDE ANJU FURNITURES",12.941713,77.555689
"Nagendra Block,BANASHANKARI 3RD STAGE NAGENDRA BLOCK,BESIDE SWASTIK HARD WARE",12.94184,77.55324
"Avalahalli BDA Park,AVALAHALLI BDA,OPPOSITE OF BDA PARK",12.943099,77.542652
"Deepanjali nagara BMT-16,DEEPANJALI NAGARA,OPPOSITE OF DEPOT 16",12.951435,77.537115
"Attiguppe,RPC LAYOUT,BESIDE SYNDICATE BANK",12.957782,77.53383
"Vijayanagara TTMC,TTMC",12.964843,77.534702
"Maruthi mandira,VIJAYANAGARA,BESIDE MATHA AIR TRAVELS",12.967804,77.536114
"Vijayanagara,VIJAYANAGARA,IN FRONT OF INDRAPRASTHA HOTEL",12.971953,77.537622
